XY
realPoint:(62,206)
point:(605.2511903363396, 316.3652248049077)   distance=325.6347751950923
point:(18.671734368924376, 368.64580301768854)   distance=273.35419698231146
point:(682.0298174347249, 441.9240559690757)   distance=200.0759440309243
point:(510.6657150696159, 439.56954322238573)   distance=202.43045677761427
point:(518.1085350659205, 311.91315469728625)   distance=330.08684530271375
point:(161.840767072561, 1723.4462689239588)   distance=1081.4462689239588
point:(-251.9321659538938, 1173.907399580511)   distance=531.9073995805111
point:(-417.29686000655215, 1085.3293925487542)   distance=443.3293925487542
point:(1291.1721381163247, 1057.4137706813326)   distance=415.4137706813326
point:(-14.56625924196726, 1552.4437464001692)   distance=910.4437464001692
point:(-139.95751000606708, -280.8265345099826)   distance=922.8265345099826
point:(54.65357945662868, -308.2044826106653)   distance=950.2044826106653
point:(682.0298174347249, 441.9240559690757)   distance=200.0759440309243
point:(342.98466710361276, 426.57166348159126)   distance=215.42833651840874
point:(178.7455499820087, 267.4964567815391)   distance=374.5035432184609
point:(183.45491123006298, 126.77945828576321)   distance=515.2205417142368
point:(508.17337987607243, 561.9428932168626)   distance=80.05710678313744     ¡Ì
point:(638.8302565127381, 49.092117882867456)   distance=592.9078821171325
point:(98.99508807077348, 107.0787865754977)   distance=534.9212134245023
point:(355.1368483479716, 158.198276460716)   distance=483.801723539284
point:(318.42944821311744, -304.19675984352057)   distance=946.1967598435206
point:(426.36480928672603, 434.4010242262516)   distance=207.5989757737484
point:(355.1368483479716, 158.198276460716)   distance=483.801723539284
point:(342.98466710361276, 426.57166348159126)   distance=215.42833651840874
point:(530.5018398649862, 178.9737276415641)   distance=463.0262723584359
point:(787.9586243213882, -229.74434336251443)   distance=871.7443433625144
point:(787.9586243213882, -229.74434336251443)   distance=871.7443433625144
point:(69.10961623863852, -373.7889158576527)   distance=1015.7889158576527
point:(442.3589623065907, 169.91642292540314)   distance=472.08357707459686
point:(400.5785280677384, 790.8396513341102)   distance=148.83965133411016
point:(570.1399038714012, -102.75424206174841)   distance=744.7542420617484
point:(663.4464874804331, 525.8390568928755)   distance=116.16094310712447     ¡Ì
point:(682.0298174347249, 441.9240559690757)   distance=200.0759440309243
point:(663.045516805079, -92.46899337408672)   distance=734.4689933740867
point:(547.8456294668131, 40.75126205521917)   distance=601.2487379447808
point:(540.4019957802566, -454.28640147508577)   distance=1096.2864014750858
point:(530.5018398649862, 178.9737276415641)   distance=463.0262723584359
point:(707.0051272533888, 507.8978542285675)   distance=134.1021457714325     ¡Ì
point:(216.30881307571696, 69.57328214415452)   distance=572.4267178558455
point:(787.5817875335447, 466.37821219230506)   distance=175.62178780769494
point:(-229.58165195656875, -154.05431907729144)   distance=796.0543190772914
point:(452.1615596188549, 312.01680987781606)   distance=329.98319012218394
point:(679.1060780615002, -56.051984154303454)   distance=698.0519841543035
point:(611.170023325417, 590.2502691554771)   distance=51.7497308445229     ¡Ì
point:(346.5855153244116, 295.02648923646495)   distance=346.97351076353505
point:(638.8302565127381, 49.092117882867456)   distance=592.9078821171325
point:(342.98466710361276, 426.57166348159126)   distance=215.42833651840874
XY
realPoint:(849,690)
critical distance is 144.00
point:(686.3954983750951, 884.1640818831399)   distance=253.25859243509657
point:(945.9816979807123, 425.4995119751647)   distance=281.71964416525543
point:(1169.2761248841794, -510.9852667431387)   distance=1242.9571219896986
point:(605.2511903363396, 316.3652248049077)   distance=446.1125726176505
point:(597.3846630787505, -251.54278470933855)   distance=974.5835486053568
point:(642.8728488019264, 186.5974251023755)   distance=543.969259126462
point:(457.7817660206647, 29.749564479044807)   distance=767.4518513910309
point:(619.5654810231582, 185.37019060919897)   distance=554.3387439318408
point:(846.9006954543851, 548.2309802760844)   distance=141.78456204063684     ¡Ì
point:(518.1085350659205, 311.91315469728625)   distance=502.4329051298087
point:(679.333585196809, -67.62696826375532)   distance=776.3925008349178
point:(368.6386661742928, 16.087025154344246)   distance=827.5903024444727
point:(595.8873844522822, 442.0772204699938)   distance=354.3045311018346
point:(693.3146092065352, 318.1564531640031)   distance=403.1197889338702
point:(800.4550541388319, 190.18059129889036)   distance=502.17133837266203
point:(800.4550541388319, 190.18059129889036)   distance=502.17133837266203
point:(613.5011095925314, 786.5305750052066)   distance=254.5149883483971
point:(787.9586243213882, -229.74434336251443)   distance=921.7677075554775
point:(1054.7759206850828, 298.712949115123)   distance=442.09646653640857
point:(666.7256359017324, -564.9689855963868)   distance=1268.1368611535001
point:(595.8873844522822, 442.0772204699938)   distance=354.3045311018346
point:(800.2061198024751, 316.7936160868629)   distance=376.38258160846163
point:(595.8873844522822, 442.0772204699938)   distance=354.3045311018346
point:(922.5849520157409, -371.0747879100643)   distance=1063.6232654006526
point:(619.5654810231582, 185.37019060919897)   distance=554.3387439318408
point:(674.3116882993877, 673.6101459873531)   distance=175.45550307518474
point:(693.3146092065352, 318.1564531640031)   distance=403.1197889338702
point:(800.4550541388319, 190.18059129889036)   distance=502.17133837266203
point:(666.7256359017324, -564.9689855963868)   distance=1268.1368611535001
point:(917.3087192491716, 58.149634874655476)   distance=635.5320330514373
point:(800.4550541388319, 190.18059129889036)   distance=502.17133837266203
point:(730.7356471584394, 54.77213196198966)   distance=646.1430967557798
point:(787.6671229071787, 317.1500482036033)   distance=377.8608320096944
point:(431.88664339527776, 304.8002428411387)   distance=567.7696761657
point:(800.4550541388319, 190.18059129889036)   distance=502.17133837266203
point:(846.9006954543851, 548.2309802760844)   distance=141.78456204063684     ¡Ì
point:(607.8918951011176, 442.2159601131265)   distance=345.73117977785887
point:(730.7356471584394, 54.77213196198966)   distance=646.1430967557798
point:(756.8718933385333, -84.84458643495122)   distance=780.3023267712183
point:(857.07697419894, 433.6352017216612)   distance=256.49200242600875
point:(619.5654810231582, 185.37019060919897)   distance=554.3387439318408
point:(800.4550541388319, 190.18059129889036)   distance=502.17133837266203
point:(851.6190334717642, -79.88102124434181)   distance=769.8854760342975
point:(595.8873844522822, 442.0772204699938)   distance=354.3045311018346
point:(570.1399038714012, -102.75424206174841)   distance=840.3703002365971
point:(262.415854374836, 442.3735125133172)   distance=636.7101673475897
point:(637.4887008867659, 186.33018219290284)   distance=546.2786056788261
point:(965.493638491871, -524.5962290388595)   distance=1220.1699748004344
point:(547.8456294668131, 40.75126205521917)   distance=715.6939839164017
point:(769.0930140169443, 439.1100497196315)   distance=263.3076025499113
point:(967.2447255477198, -88.50485159786876)   distance=787.4335648683482
point:(693.3146092065352, 318.1564531640031)   distance=403.1197889338702
point:(663.045516805079, -92.46899337408672)   distance=804.261646115334
point:(823.5618014039173, 57.791304292585664)   distance=632.7202674767766
point:(619.5654810231582, 185.37019060919897)   distance=554.3387439318408
point:(985.0276816536114, 184.3476249944771)   distance=523.6295011979197
point:(693.3146092065352, 318.1564531640031)   distance=403.1197889338702
point:(387.0909688033751, -131.30726468265016)   distance=942.2874169389621
point:(663.045516805079, -92.46899337408672)   distance=804.261646115334
point:(846.9006954543851, 548.2309802760844)   distance=141.78456204063684     ¡Ì
point:(759.1785898548217, 772.8814483710735)   distance=122.21792096315197     ¡Ì
point:(1043.875604537555, -77.93641610870134)   distance=792.2769972867785
point:(1107.56484573901, 50.883770793216854)   distance=689.4384192134461
point:(841.6749015125913, 657.543720299885)   distance=33.272618770128936     ¡Ì
point:(933.8844333484045, 538.1508976695745)   distance=173.96412533460958
point:(985.0276816536114, 184.3476249944771)   distance=523.6295011979197
point:(963.0294474157812, 307.5650877501322)   distance=399.07289683153436
point:(963.0294474157812, 307.5650877501322)   distance=399.07289683153436
point:(757.5329131061013, 666.9073540178821)   distance=94.33715218995874     ¡Ì
point:(769.0930140169443, 439.1100497196315)   distance=263.3076025499113
point:(851.6190334717642, -79.88102124434181)   distance=769.8854760342975
point:(1078.6951408106659, 177.43987921948133)   distance=561.6740470473702
point:(782.2987916765074, 317.2868397745723)   distance=378.6345876924602
point:(709.5498857811068, 189.10581182830776)   distance=519.9435758809228
point:(1107.56484573901, 50.883770793216854)   distance=689.4384192134461
point:(947.2869372047713, -77.57829780225848)   distance=773.8454401765945
point:(917.3087192491716, 58.149634874655476)   distance=635.5320330514373
point:(857.07697419894, 433.6352017216612)   distance=256.49200242600875
point:(926.7376535188579, 645.5192448333617)   distance=89.56383396668781     ¡Ì
point:(1035.807185362261, 414.70298048014206)   distance=332.6941139537746
point:(714.9782303490566, 189.24533433385113)   distance=518.3792722773424
point:(693.3146092065352, 318.1564531640031)   distance=403.1197889338702
point:(1187.4504911363165, 593.4807679426349)   distance=351.9441675995744
point:(872.2037377462561, 313.7563846366153)   distance=376.95844803785417
point:(846.9006954543851, 548.2309802760844)   distance=141.78456204063684     ¡Ì
point:(1021.7889348422004, 525.4099733145384)   distance=238.63338594635735
point:(963.0294474157812, 307.5650877501322)   distance=399.07289683153436
point:(841.6749015125913, 657.543720299885)   distance=33.272618770128936     ¡Ì
point:(760.8377211601422, 555.6502211340681)   distance=160.69365417327975
point:(846.0747680372873, 860.3200847556182)   distance=170.34520319984543
point:(756.8718933385333, -84.84458643495122)   distance=780.3023267712183
point:(823.5618014039173, 57.791304292585664)   distance=632.7202674767766
point:(823.5618014039173, 57.791304292585664)   distance=632.7202674767766
point:(917.3087192491716, 58.149634874655476)   distance=635.5320330514373
point:(1110.6141999357728, 510.0082072109763)   distance=317.5516258491544
point:(674.3116882993877, 673.6101459873531)   distance=175.45550307518474
point:(443.9022782604612, 305.95623317426055)   distance=558.2058571855617
point:(769.0930140169443, 439.1100497196315)   distance=263.3076025499113
point:(709.5498857811068, 189.10581182830776)   distance=519.9435758809228
point:(607.8918951011176, 442.2159601131265)   distance=345.73117977785887
point:(884.6267503423719, -222.83638531189172)   distance=913.5313523296495
point:(184.17828189418367, 533.0813381812227)   distance=683.0895865786313
point:(619.5654810231582, 185.37019060919897)   distance=554.3387439318408
point:(350.6344250702985, 673.8128963799759)   distance=498.62838727715587
point:(726.3274917980443, -391.44033147986283)   distance=1088.3757323736295
point:(279.82992844112573, 546.2100188294385)   distance=587.0520667226754
point:(296.9476466690268, -149.5750386158902)   distance=1004.812443337133
point:(387.0909688033751, -131.30726468265016)   distance=942.2874169389621
point:(510.6315294852901, 679.0332046807168)   distance=338.5461452121987
point:(263.79591098999106, 544.2879895629218)   distance=603.0719822539012
point:(178.98667353671556, 402.9304167466922)   distance=728.9216715584903
point:(638.8302565127381, 49.092117882867456)   distance=674.4881277215854
point:(692.2112619001811, -239.31314316166345)   distance=942.446617293491
point:(344.33430368557504, 552.8337991960948)   distance=522.9742170312994
point:(350.6344250702985, 673.8128963799759)   distance=498.62838727715587
point:(344.33430368557504, 552.8337991960948)   distance=522.9742170312994
point:(350.6344250702985, 673.8128963799759)   distance=498.62838727715587
point:(281.876149493645, 419.06488661284146)   distance=628.5183350382604
X
point:(686.3954983750951, 884.1640818831399)   distance=162.60450162490486
point:(945.9816979807123, 425.4995119751647)   distance=96.98169798071228     ¡Ì
point:(1169.2761248841794, -510.9852667431387)   distance=320.27612488417935
point:(605.2511903363396, 316.3652248049077)   distance=243.74880966366038
point:(597.3846630787505, -251.54278470933855)   distance=251.61533692124954
point:(642.8728488019264, 186.5974251023755)   distance=206.12715119807365
point:(457.7817660206647, 29.749564479044807)   distance=391.2182339793353
point:(619.5654810231582, 185.37019060919897)   distance=229.4345189768418
point:(518.1085350659205, 311.91315469728625)   distance=330.8914649340795
point:(679.333585196809, -67.62696826375532)   distance=169.66641480319095
point:(368.6386661742928, 16.087025154344246)   distance=480.3613338257072
point:(595.8873844522822, 442.0772204699938)   distance=253.11261554771784
point:(693.3146092065352, 318.1564531640031)   distance=155.68539079346476
point:(800.4550541388319, 190.18059129889036)   distance=48.54494586116812     ¡Ì
point:(568.9778289045724, -583.7482546126148)   distance=280.02217109542755
point:(800.4550541388319, 190.18059129889036)   distance=48.54494586116812     ¡Ì
point:(613.5011095925314, 786.5305750052066)   distance=235.4988904074686
point:(787.9586243213882, -229.74434336251443)   distance=61.04137567861176     ¡Ì
point:(1054.7759206850828, 298.712949115123)   distance=205.77592068508284
point:(666.7256359017324, -564.9689855963868)   distance=182.2743640982676
point:(595.8873844522822, 442.0772204699938)   distance=253.11261554771784
point:(800.2061198024751, 316.7936160868629)   distance=48.79388019752491     ¡Ì
point:(595.8873844522822, 442.0772204699938)   distance=253.11261554771784
point:(922.5849520157409, -371.0747879100643)   distance=73.5849520157409     ¡Ì
point:(619.5654810231582, 185.37019060919897)   distance=229.4345189768418
point:(674.3116882993877, 673.6101459873531)   distance=174.6883117006123
point:(693.3146092065352, 318.1564531640031)   distance=155.68539079346476
point:(800.4550541388319, 190.18059129889036)   distance=48.54494586116812     ¡Ì
point:(666.7256359017324, -564.9689855963868)   distance=182.2743640982676
point:(917.3087192491716, 58.149634874655476)   distance=68.30871924917165     ¡Ì
point:(800.4550541388319, 190.18059129889036)   distance=48.54494586116812     ¡Ì
point:(730.7356471584394, 54.77213196198966)   distance=118.2643528415606     ¡Ì
point:(787.6671229071787, 317.1500482036033)   distance=61.33287709282126     ¡Ì
point:(431.88664339527776, 304.8002428411387)   distance=417.11335660472224
point:(800.4550541388319, 190.18059129889036)   distance=48.54494586116812     ¡Ì
point:(846.9006954543851, 548.2309802760844)   distance=2.0993045456149275     ¡Ì
point:(607.8918951011176, 442.2159601131265)   distance=241.1081048988824
point:(730.7356471584394, 54.77213196198966)   distance=118.2643528415606     ¡Ì
point:(756.8718933385333, -84.84458643495122)   distance=92.12810666146675     ¡Ì
point:(857.07697419894, 433.6352017216612)   distance=8.076974198939979     ¡Ì
point:(841.6749015125913, 657.543720299885)   distance=7.325098487408695     ¡Ì
point:(619.5654810231582, 185.37019060919897)   distance=229.4345189768418
point:(800.4550541388319, 190.18059129889036)   distance=48.54494586116812     ¡Ì
point:(851.6190334717642, -79.88102124434181)   distance=2.619033471764169     ¡Ì
point:(595.8873844522822, 442.0772204699938)   distance=253.11261554771784
point:(570.1399038714012, -102.75424206174841)   distance=278.8600961285988
point:(262.415854374836, 442.3735125133172)   distance=586.584145625164
point:(637.4887008867659, 186.33018219290284)   distance=211.51129911323414
point:(965.493638491871, -524.5962290388595)   distance=116.49363849187102     ¡Ì
point:(547.8456294668131, 40.75126205521917)   distance=301.1543705331869
point:(769.0930140169443, 439.1100497196315)   distance=79.90698598305573     ¡Ì
point:(967.2447255477198, -88.50485159786876)   distance=118.24472554771978     ¡Ì
point:(693.3146092065352, 318.1564531640031)   distance=155.68539079346476
point:(663.045516805079, -92.46899337408672)   distance=185.95448319492095
point:(823.5618014039173, 57.791304292585664)   distance=25.438198596082657     ¡Ì
point:(619.5654810231582, 185.37019060919897)   distance=229.4345189768418
point:(985.0276816536114, 184.3476249944771)   distance=136.02768165361135     ¡Ì
point:(693.3146092065352, 318.1564531640031)   distance=155.68539079346476
point:(387.0909688033751, -131.30726468265016)   distance=461.9090311966249
point:(663.045516805079, -92.46899337408672)   distance=185.95448319492095
point:(846.9006954543851, 548.2309802760844)   distance=2.0993045456149275     ¡Ì
point:(759.1785898548217, 772.8814483710735)   distance=89.82141014517833     ¡Ì
point:(1043.875604537555, -77.93641610870134)   distance=194.8756045375551
point:(1107.56484573901, 50.883770793216854)   distance=258.56484573901
point:(841.6749015125913, 657.543720299885)   distance=7.325098487408695     ¡Ì
point:(933.8844333484045, 538.1508976695745)   distance=84.88443334840451     ¡Ì
point:(985.0276816536114, 184.3476249944771)   distance=136.02768165361135     ¡Ì
point:(963.0294474157812, 307.5650877501322)   distance=114.02944741578119     ¡Ì
point:(963.0294474157812, 307.5650877501322)   distance=114.02944741578119     ¡Ì
point:(757.5329131061013, 666.9073540178821)   distance=91.46708689389868     ¡Ì
point:(769.0930140169443, 439.1100497196315)   distance=79.90698598305573     ¡Ì
point:(851.6190334717642, -79.88102124434181)   distance=2.619033471764169     ¡Ì
point:(1078.6951408106659, 177.43987921948133)   distance=229.69514081066586
point:(782.2987916765074, 317.2868397745723)   distance=66.70120832349255     ¡Ì
point:(709.5498857811068, 189.10581182830776)   distance=139.4501142188932     ¡Ì
point:(1107.56484573901, 50.883770793216854)   distance=258.56484573901
point:(947.2869372047713, -77.57829780225848)   distance=98.28693720477133     ¡Ì
point:(917.3087192491716, 58.149634874655476)   distance=68.30871924917165     ¡Ì
point:(857.07697419894, 433.6352017216612)   distance=8.076974198939979     ¡Ì
point:(926.7376535188579, 645.5192448333617)   distance=77.73765351885788     ¡Ì
point:(1035.807185362261, 414.70298048014206)   distance=186.80718536226095
point:(714.9782303490566, 189.24533433385113)   distance=134.02176965094338     ¡Ì
point:(693.3146092065352, 318.1564531640031)   distance=155.68539079346476
point:(1187.4504911363165, 593.4807679426349)   distance=338.4504911363165
point:(872.2037377462561, 313.7563846366153)   distance=23.203737746256138     ¡Ì
point:(846.9006954543851, 548.2309802760844)   distance=2.0993045456149275     ¡Ì
point:(1021.7889348422004, 525.4099733145384)   distance=172.78893484220043
point:(963.0294474157812, 307.5650877501322)   distance=114.02944741578119     ¡Ì
point:(841.6749015125913, 657.543720299885)   distance=7.325098487408695     ¡Ì
point:(760.8377211601422, 555.6502211340681)   distance=88.16227883985778     ¡Ì
point:(846.0747680372873, 860.3200847556182)   distance=2.925231962712701     ¡Ì
point:(756.8718933385333, -84.84458643495122)   distance=92.12810666146675     ¡Ì
point:(823.5618014039173, 57.791304292585664)   distance=25.438198596082657     ¡Ì
point:(823.5618014039173, 57.791304292585664)   distance=25.438198596082657     ¡Ì
point:(917.3087192491716, 58.149634874655476)   distance=68.30871924917165     ¡Ì
point:(1110.6141999357728, 510.0082072109763)   distance=261.61419993577283
point:(674.3116882993877, 673.6101459873531)   distance=174.6883117006123
point:(443.9022782604612, 305.95623317426055)   distance=405.0977217395388
point:(769.0930140169443, 439.1100497196315)   distance=79.90698598305573     ¡Ì
point:(709.5498857811068, 189.10581182830776)   distance=139.4501142188932     ¡Ì
point:(607.8918951011176, 442.2159601131265)   distance=241.1081048988824
point:(884.6267503423719, -222.83638531189172)   distance=35.626750342371906     ¡Ì
point:(184.17828189418367, 533.0813381812227)   distance=664.8217181058163
point:(619.5654810231582, 185.37019060919897)   distance=229.4345189768418
point:(350.6344250702985, 673.8128963799759)   distance=498.3655749297015
point:(726.3274917980443, -391.44033147986283)   distance=122.67250820195568     ¡Ì
point:(279.82992844112573, 546.2100188294385)   distance=569.1700715588743
point:(296.9476466690268, -149.5750386158902)   distance=552.0523533309731
point:(387.0909688033751, -131.30726468265016)   distance=461.9090311966249
point:(510.6315294852901, 679.0332046807168)   distance=338.3684705147099
point:(263.79591098999106, 544.2879895629218)   distance=585.2040890100089
point:(638.8302565127381, 49.092117882867456)   distance=210.16974348726194
point:(692.2112619001811, -239.31314316166345)   distance=156.78873809981894
point:(344.33430368557504, 552.8337991960948)   distance=504.66569631442496
point:(350.6344250702985, 673.8128963799759)   distance=498.3655749297015
point:(344.33430368557504, 552.8337991960948)   distance=504.66569631442496
point:(350.6344250702985, 673.8128963799759)   distance=498.3655749297015
point:(281.876149493645, 419.06488661284146)   distance=567.123850506355
Y
point:(686.3954983750951, 884.1640818831399)   distance=194.16408188313994
point:(945.9816979807123, 425.4995119751647)   distance=264.5004880248353
point:(1169.2761248841794, -510.9852667431387)   distance=1200.9852667431387
point:(605.2511903363396, 316.3652248049077)   distance=373.6347751950923
point:(597.3846630787505, -251.54278470933855)   distance=941.5427847093385
point:(642.8728488019264, 186.5974251023755)   distance=503.4025748976245
point:(457.7817660206647, 29.749564479044807)   distance=660.2504355209552
point:(619.5654810231582, 185.37019060919897)   distance=504.62980939080103
point:(846.9006954543851, 548.2309802760844)   distance=141.76901972391556     ¡Ì
point:(518.1085350659205, 311.91315469728625)   distance=378.08684530271375
point:(679.333585196809, -67.62696826375532)   distance=757.6269682637553
point:(368.6386661742928, 16.087025154344246)   distance=673.9129748456558
point:(595.8873844522822, 442.0772204699938)   distance=247.9227795300062
point:(693.3146092065352, 318.1564531640031)   distance=371.8435468359969
point:(800.4550541388319, 190.18059129889036)   distance=499.81940870110964
point:(800.4550541388319, 190.18059129889036)   distance=499.81940870110964
point:(613.5011095925314, 786.5305750052066)   distance=96.53057500520663     ¡Ì
point:(787.9586243213882, -229.74434336251443)   distance=919.7443433625144
point:(1054.7759206850828, 298.712949115123)   distance=391.287050884877
point:(666.7256359017324, -564.9689855963868)   distance=1254.9689855963868
point:(595.8873844522822, 442.0772204699938)   distance=247.9227795300062
point:(800.2061198024751, 316.7936160868629)   distance=373.2063839131371
point:(595.8873844522822, 442.0772204699938)   distance=247.9227795300062
point:(922.5849520157409, -371.0747879100643)   distance=1061.0747879100643
point:(619.5654810231582, 185.37019060919897)   distance=504.62980939080103
point:(674.3116882993877, 673.6101459873531)   distance=16.38985401264688     ¡Ì
point:(693.3146092065352, 318.1564531640031)   distance=371.8435468359969
point:(800.4550541388319, 190.18059129889036)   distance=499.81940870110964
point:(666.7256359017324, -564.9689855963868)   distance=1254.9689855963868
point:(917.3087192491716, 58.149634874655476)   distance=631.8503651253445
point:(800.4550541388319, 190.18059129889036)   distance=499.81940870110964
point:(730.7356471584394, 54.77213196198966)   distance=635.2278680380103
point:(787.6671229071787, 317.1500482036033)   distance=372.8499517963967
point:(431.88664339527776, 304.8002428411387)   distance=385.1997571588613
point:(800.4550541388319, 190.18059129889036)   distance=499.81940870110964
point:(846.9006954543851, 548.2309802760844)   distance=141.76901972391556     ¡Ì
point:(607.8918951011176, 442.2159601131265)   distance=247.78403988687347
point:(730.7356471584394, 54.77213196198966)   distance=635.2278680380103
point:(756.8718933385333, -84.84458643495122)   distance=774.8445864349512
point:(857.07697419894, 433.6352017216612)   distance=256.3647982783388
point:(841.6749015125913, 657.543720299885)   distance=32.45627970011503     ¡Ì
point:(619.5654810231582, 185.37019060919897)   distance=504.62980939080103
point:(800.4550541388319, 190.18059129889036)   distance=499.81940870110964
point:(851.6190334717642, -79.88102124434181)   distance=769.8810212443418
point:(595.8873844522822, 442.0772204699938)   distance=247.9227795300062
point:(570.1399038714012, -102.75424206174841)   distance=792.7542420617484
point:(262.415854374836, 442.3735125133172)   distance=247.62648748668278
point:(637.4887008867659, 186.33018219290284)   distance=503.66981780709716
point:(965.493638491871, -524.5962290388595)   distance=1214.5962290388595
point:(547.8456294668131, 40.75126205521917)   distance=649.2487379447808
point:(769.0930140169443, 439.1100497196315)   distance=250.8899502803685
point:(967.2447255477198, -88.50485159786876)   distance=778.5048515978688
point:(693.3146092065352, 318.1564531640031)   distance=371.8435468359969
point:(663.045516805079, -92.46899337408672)   distance=782.4689933740867
point:(823.5618014039173, 57.791304292585664)   distance=632.2086957074143
point:(619.5654810231582, 185.37019060919897)   distance=504.62980939080103
point:(985.0276816536114, 184.3476249944771)   distance=505.6523750055229
point:(693.3146092065352, 318.1564531640031)   distance=371.8435468359969
point:(387.0909688033751, -131.30726468265016)   distance=821.3072646826502
point:(663.045516805079, -92.46899337408672)   distance=782.4689933740867
point:(846.9006954543851, 548.2309802760844)   distance=141.76901972391556     ¡Ì
point:(759.1785898548217, 772.8814483710735)   distance=82.88144837107347     ¡Ì
point:(1043.875604537555, -77.93641610870134)   distance=767.9364161087013
point:(1107.56484573901, 50.883770793216854)   distance=639.1162292067831
point:(841.6749015125913, 657.543720299885)   distance=32.45627970011503     ¡Ì
point:(933.8844333484045, 538.1508976695745)   distance=151.84910233042547
point:(985.0276816536114, 184.3476249944771)   distance=505.6523750055229
point:(963.0294474157812, 307.5650877501322)   distance=382.4349122498678
point:(963.0294474157812, 307.5650877501322)   distance=382.4349122498678
point:(757.5329131061013, 666.9073540178821)   distance=23.092645982117915     ¡Ì
point:(769.0930140169443, 439.1100497196315)   distance=250.8899502803685
point:(851.6190334717642, -79.88102124434181)   distance=769.8810212443418
point:(1078.6951408106659, 177.43987921948133)   distance=512.5601207805187
point:(782.2987916765074, 317.2868397745723)   distance=372.7131602254277
point:(709.5498857811068, 189.10581182830776)   distance=500.89418817169224
point:(1107.56484573901, 50.883770793216854)   distance=639.1162292067831
point:(947.2869372047713, -77.57829780225848)   distance=767.5782978022585
point:(917.3087192491716, 58.149634874655476)   distance=631.8503651253445
point:(857.07697419894, 433.6352017216612)   distance=256.3647982783388
point:(926.7376535188579, 645.5192448333617)   distance=44.480755166638346     ¡Ì
point:(1035.807185362261, 414.70298048014206)   distance=275.29701951985794
point:(714.9782303490566, 189.24533433385113)   distance=500.75466566614887
point:(693.3146092065352, 318.1564531640031)   distance=371.8435468359969
point:(1187.4504911363165, 593.4807679426349)   distance=96.51923205736512     ¡Ì
point:(872.2037377462561, 313.7563846366153)   distance=376.2436153633847
point:(846.9006954543851, 548.2309802760844)   distance=141.76901972391556     ¡Ì
point:(1021.7889348422004, 525.4099733145384)   distance=164.59002668546157
point:(963.0294474157812, 307.5650877501322)   distance=382.4349122498678
point:(841.6749015125913, 657.543720299885)   distance=32.45627970011503     ¡Ì
point:(760.8377211601422, 555.6502211340681)   distance=134.34977886593185     ¡Ì
point:(846.0747680372873, 860.3200847556182)   distance=170.32008475561815
point:(756.8718933385333, -84.84458643495122)   distance=774.8445864349512
point:(823.5618014039173, 57.791304292585664)   distance=632.2086957074143
point:(823.5618014039173, 57.791304292585664)   distance=632.2086957074143
point:(917.3087192491716, 58.149634874655476)   distance=631.8503651253445
point:(1110.6141999357728, 510.0082072109763)   distance=179.9917927890237
point:(674.3116882993877, 673.6101459873531)   distance=16.38985401264688     ¡Ì
point:(443.9022782604612, 305.95623317426055)   distance=384.04376682573945
point:(769.0930140169443, 439.1100497196315)   distance=250.8899502803685
point:(709.5498857811068, 189.10581182830776)   distance=500.89418817169224
point:(607.8918951011176, 442.2159601131265)   distance=247.78403988687347
point:(884.6267503423719, -222.83638531189172)   distance=912.8363853118917
point:(184.17828189418367, 533.0813381812227)   distance=156.9186618187773
point:(619.5654810231582, 185.37019060919897)   distance=504.62980939080103
point:(350.6344250702985, 673.8128963799759)   distance=16.187103620024118     ¡Ì
point:(726.3274917980443, -391.44033147986283)   distance=1081.4403314798628
point:(279.82992844112573, 546.2100188294385)   distance=143.78998117056153     ¡Ì
point:(296.9476466690268, -149.5750386158902)   distance=839.5750386158902
point:(387.0909688033751, -131.30726468265016)   distance=821.3072646826502
point:(263.79591098999106, 544.2879895629218)   distance=145.71201043707822
point:(178.98667353671556, 402.9304167466922)   distance=287.0695832533078
point:(638.8302565127381, 49.092117882867456)   distance=640.9078821171325
point:(692.2112619001811, -239.31314316166345)   distance=929.3131431616634
point:(344.33430368557504, 552.8337991960948)   distance=137.1662008039052     ¡Ì
point:(350.6344250702985, 673.8128963799759)   distance=16.187103620024118     ¡Ì
point:(344.33430368557504, 552.8337991960948)   distance=137.1662008039052     ¡Ì
point:(350.6344250702985, 673.8128963799759)   distance=16.187103620024118     ¡Ì
point:(281.876149493645, 419.06488661284146)   distance=270.93511338715854
XY
realPoint:(295,686)
critical distance is 144.00
point:(342.98466710361276, 426.57166348159126)   distance=263.8287134975139
point:(431.88664339527776, 304.8002428411387)   distance=405.0323542607439
point:(378.0861222480289, 899.92197515587)   distance=229.49055572028027
point:(209.4129530174032, 777.5340654584156)   distance=125.31411632592216     ¡Ì
point:(280.41632992769735, -0.2363559188823956)   distance=686.3913021138925
point:(430.17259547790604, 677.7534714046094)   distance=135.42391148577943     ¡Ì
point:(453.7823208801307, 899.9737644604767)   distance=266.4518667629641
point:(303.3106872157035, 897.2093441027372)   distance=211.3727857561273
point:(183.45491123006298, 126.77945828576321)   distance=570.2367237418663
point:(280.2315657399771, 418.8417783542351)   distance=267.5661078003346
point:(369.6396123278247, 675.0013031533535)   distance=75.44562983216716     ¡Ì
point:(262.20515085332187, 282.591893883265)   distance=404.73893093109325
point:(287.31043212121153, 181.18815562397845)   distance=504.8704068139497
point:(350.6344250702985, 673.8128963799759)   distance=56.95361926645104     ¡Ì
